,boycott_uid_set,like_boycotters_uid_set
0156,2690;1413;4364;3731;2070;4249;3226;1406;4005;3755;693;2614;2233;3904;1095;3530;4812;973;2383;2394;4700;3942;5607;616;3177;5868;3565;1273;4731;2686,
0157,2816;3210;1549;4625;785;793;1689;4903;5800;1453;315;4668;2749;3267;3139;3396;715;4952;601;3160;1120;5220;1255;1895;239;623;4214;5881;1274;1148,
0158,3459;5126;2444;5647;2451;4380;2976;2600;1193;2865;182;4791;2489;3517;1214;5695;2880;1858;3138;67;3655;200;5587;2520;4952;3038;879;3440;1010;3449,
0159,771;5129;4628;1827;46;4154;1083;5564;832;3521;451;5703;1229;3662;3920;1490;3673;3417;347;3295;5984;4448;3039;5738;3583;1133;2286;374;3448;895,
0160,3971;5767;904;2315;4621;4879;1299;2708;2068;4250;1949;5924;549;1444;677;4779;2992;949;4790;4407;3259;1601;4802;193;3526;4321;5740;4212;5237;1402,
0161,5760;4865;2179;260;1417;5386;909;4242;1557;4886;5281;166;815;946;4019;4531;2101;2615;2999;1468;64;5700;5188;1368;5468;5855;355;5868;4732;4733,
0162,1792;1798;3472;4114;4627;2198;4765;3498;4779;1068;5040;1077;5303;3262;2504;1228;591;1234;1750;854;344;350;97;5354;4717;2930;4087;3832;5758;1399,
0163,4487;9;1294;2321;1428;1276;2454;1699;5800;3370;1963;303;1476;1860;74;5707;3287;1879;4826;4314;483;4965;3942;2663;362;5100;3057;2422;4599;3964,
0164,5249;643;519;1546;1291;4236;6037;918;2965;3867;285;5925;4774;5674;4783;2103;4791;5310;4546;5186;3525;979;5459;5080;2777;2399;354;4068;5749;6006,
0165,3585;3202;1542;5513;1802;3083;4365;19;4261;4393;2987;4142;3891;4412;3644;5183;5188;1606;5580;2510;2896;3293;2784;5857;5222;5223;5224;3827;5238;4985,
0166,6016;6021;4104;2830;4241;4882;3349;1817;1180;3234;5286;3626;5165;4270;4529;4921;2879;3540;5978;3676;2525;4188;351;2273;1634;5734;4969;5999;374;2429,
0167,3457;2180;2693;3333;4743;2056;2315;1048;5146;285;4387;3748;3235;3880;53;1718;823;5176;4281;444;830;582;2381;5585;4065;3172;744;500;3452;1022,
0168,4744;1034;2451;5142;2199;1820;289;3621;5542;3758;3118;1205;3522;4677;5064;1352;4307;1496;5852;1374;4190;4318;3816;5737;498;1785;2426;6013;3070;1535,
0169,4;5894;781;6033;659;6035;5910;4375;2970;5787;3487;3362;803;5028;2347;2092;2232;314;4027;5951;5440;5315;3534;847;5076;1243;5983;5874;5619;5369,
0170,1664;7;4231;1161;5517;3098;2588;2973;2461;3485;2853;1445;5044;308;2630;456;2121;2386;2900;1114;2405;5357;3823;1136;4335;884;4086;3833;4090;4733,
0171,130;2308;1412;3591;2445;658;5400;4768;2468;5670;2479;4282;572;3517;5440;3137;5959;2888;981;1119;609;5986;1381;5359;5871;3059;4084;3445;4856;5886,
0172,3585;5123;1414;1287;5001;5519;5264;2711;3998;3230;935;5288;4779;5931;3885;946;57;316;64;196;5325;720;1105;2908;5087;3039;4079;3831;1144;2811,
0173,3205;3590;3215;1302;283;2971;3613;1947;1059;2343;3255;3259;829;2495;5697;2499;5317;4550;3404;1492;1884;2016;357;2408;2410;3178;2157;376;3324;1917,
0174,3458;3210;5907;2713;4253;2461;4769;163;5540;4391;1068;4653;4017;3890;1206;2749;3011;2885;2127;5332;2388;4823;2527;3423;3687;5736;3690;4844;2413;6005,
0175,4352;131;1035;1170;915;21;3606;3096;5027;1831;5298;691;2100;5043;3130;827;197;1734;5189;335;1877;3287;3160;1379;2276;3047;5352;5372;3710;1407,
0176,1280;1537;129;4236;6030;657;789;1687;3611;4124;3356;3742;2205;4775;1964;5165;2614;311;5307;1981;959;4294;83;5977;4964;1381;3687;755;1782;2551,
0177,130;5899;4365;2319;2964;920;2845;3359;5550;4399;4405;3766;5180;1094;456;4429;2767;3153;5202;2004;3412;2903;1631;2273;2017;5222;3311;5747;4212;1531,
0178,388;4102;11;4494;5267;3475;4252;1180;2208;674;2853;1962;1584;455;1866;971;714;4047;847;4315;2396;4700;481;1763;3176;1260;5362;5236;1529;4222,
0179,5377;2945;3587;4613;5125;778;4240;4885;2218;5424;3128;317;3266;5190;3402;2763;5198;4436;1241;4954;4832;609;4964;3561;3183;3829;502;4986;4860;1663,
0180,2433;3223;3869;4637;3358;416;4774;3880;3888;308;4405;3772;4925;318;5057;3193;1348;2630;5447;328;1229;4944;2641;1876;5974;5081;1630;3297;4086;2169,
0181,256;5633;5254;1417;1930;1676;3597;3856;4756;2452;5400;2457;3481;3356;545;165;4141;47;4274;1718;3128;450;2245;2505;2896;723;4056;1507;4590;2670,
0182,5893;3082;5132;2318;2575;1043;2080;800;1314;3756;46;3887;2480;1481;1101;462;5712;5331;3798;5976;473;2264;5979;4570;3175;3050;3051;2931;4468;2682,
0183,2689;2052;4487;4747;5133;3855;4502;5145;163;5169;2100;5429;183;445;1608;4041;1864;5708;5069;1108;1622;983;1240;729;3158;3294;3173;4588;120;5885,
0184,258;1146;5384;141;526;3857;4123;2218;2867;5819;1084;960;2882;5715;2008;5084;1889;4834;995;5355;110;1778;4083;1012;117;502;5623;3956;1530;1022,
0185,2180;1800;2441;4756;6036;2198;3221;1944;4515;3497;5290;1452;941;304;566;5949;576;3912;4683;5454;4571;2142;741;997;1901;3053;3951;3061;3830;1275,
0186,2050;1924;5260;398;271;654;2066;916;4895;4526;559;2991;4148;1851;2880;67;5317;3525;2890;1100;3660;2130;2523;2278;3307;364;2294;4219;5884;3711,
0187,519;2058;5900;3727;5008;3985;3090;4757;3352;1054;3874;1190;2093;1709;1583;5816;2489;2110;5314;2242;3273;2387;345;5734;1768;3562;2676;1910;2811;1918,
0188,5632;641;3083;1037;3342;3729;3988;5014;4631;2980;5157;1704;4394;2347;4273;4019;1459;3907;711;3531;2766;1618;5844;3161;3033;3551;4332;1781;4214;764,
0189,4482;1926;3592;4873;1163;4748;780;1934;3730;3092;5401;3100;670;4266;4013;1464;3515;195;3922;1363;854;5344;5345;5736;1128;360;1522;4980;2556;3837,
0190,389;2055;1422;5520;5522;2578;1046;280;2841;2600;3881;3755;5035;5426;3124;310;2234;961;579;1092;2120;4812;2902;3159;4439;5983;1379;4067;884;2942,
0191,5124;5127;4359;3596;780;4386;1058;5672;684;5933;2225;2355;567;4664;3645;831;2881;710;2887;3021;5593;5228;367;1008;496;2165;3703;4602;4348;3839,
0192,2688;1796;2449;4885;6038;3737;922;5404;1949;3361;5795;3365;1830;5421;4027;1983;2753;708;3527;712;5581;2510;3669;731;5981;1502;481;4200;1261;375,
0193,897;5889;1795;518;3208;4105;521;3341;2321;669;4767;2211;5156;1189;4148;5566;1726;447;708;1995;5196;3795;5204;1498;5731;1126;4205;3314;2678;4854,
0194,1024;514;5890;3076;4231;1288;4104;5000;2961;5145;283;4636;1693;3372;561;4018;3386;4547;1998;4185;4192;4454;998;4199;107;2156;5613;3953;4215;124,
0195,1422;3606;5398;1817;32;1314;1572;3249;3250;2102;1337;2746;4413;5439;577;2375;5193;3530;3661;4429;342;2135;3804;1629;4446;1502;882;4344;4475;383,
0196,1282;4611;517;3597;3347;2452;4768;4390;5552;1458;568;3395;325;4039;3914;1226;5965;4561;1745;3281;2780;3045;3943;874;3310;1777;5234;3186;1662;4735,
0197,5258;911;5147;3868;1567;5282;1955;4643;3365;2473;297;1073;5553;437;2749;3521;3398;4934;4296;841;459;77;5587;741;5351;5101;1262;1265;3574;4989,
0198,5897;5265;5138;916;412;2077;4767;3361;5153;5937;1462;3518;3650;2755;5196;1614;2010;4827;5726;4446;5984;1892;1899;4076;2288;3956;5368;5753;4602;510,
0199,3330;1923;5251;4743;4734;3725;405;4504;3740;1441;1533;1315;1188;4897;695;5825;2625;4557;1358;849;5076;3286;1368;3933;4196;3430;3819;363;3325;126,
0200,2944;1793;4610;1539;5894;5524;673;5921;2854;3114;3755;5300;1596;318;5694;2505;715;2255;5713;850;3029;2653;3945;5866;4841;1900;5101;2414;5495;5119,
0201,2436;4742;528;5521;2066;4377;3737;1565;5156;4132;552;5288;808;5163;437;3637;2745;3648;3654;1876;2901;1620;2392;3550;1251;1127;5354;2545;3189;4348,
0202,2179;2180;3972;2319;3729;17;3604;5789;2589;1823;159;1187;1957;2744;5695;5311;2637;3535;2130;3033;3545;1503;481;226;2664;1386;1777;371;4853;3454,
0203,2944;5633;3331;139;3469;2473;172;2991;4528;1328;3634;4535;3384;2755;2885;2763;4171;2768;5719;4952;1509;231;104;235;492;5103;4214;2169;4476;3198,
0204,3849;1806;2079;936;5674;4015;5296;5681;1202;310;1720;2748;702;5440;5064;1865;4302;2262;4569;3418;4572;3936;230;4199;2408;2793;102;5613;5873;895,
0205,2311;1291;26;5018;2204;1189;5286;2597;4651;5035;5423;3763;2356;5428;4919;5180;3645;5698;4806;3532;2128;1750;1247;2659;2026;5101;1530;3963;4988;3198,
0206,4610;3975;5259;3217;4242;3732;4118;2072;2457;4645;4518;4902;4654;3252;564;3779;1220;3526;4936;4941;3149;3792;5595;5601;4975;4209;2804;3188;250;5883,
0207,4865;4617;5516;653;4236;4759;3230;2463;416;2079;1193;3758;4786;948;949;440;5048;1472;3778;324;200;849;5841;5974;1501;3178;2282;5740;4208;1278,
0208,4737;390;4103;3719;5770;531;5921;2086;38;3242;3500;4399;1841;1595;3905;5833;1610;1615;3159;856;358;3944;3818;4715;3052;3308;5740;753;5235;1918,
0209,6018;3203;517;5894;3338;652;15;1551;1682;159;3615;2596;2982;295;807;1702;432;952;3516;5573;2888;4041;2253;1232;1369;602;2401;4450;2921;3958,
0210,3720;5001;4490;5392;402;146;537;4514;4903;2216;1579;5169;5818;3261;1853;5312;3015;2253;210;859;3934;95;1120;2403;3690;2668;3566;6003;3195;5757,
0211,1695;5411;4647;3133;4030;191;5310;2623;2884;2886;5319;4679;972;2125;2004;2778;5852;5088;1633;2788;2404;4327;4590;371;1908;4085;4213;1395;1405;2174,
0212,4481;1538;1541;2569;5652;5142;5399;4379;667;5922;2348;181;441;4287;5187;4164;5451;5588;4185;729;3929;2906;2268;3167;3426;356;3173;4964;5356;5233,
0213,1026;5517;787;1812;2197;1566;4510;3239;3759;559;5679;2354;4143;3514;3779;3281;2259;3029;3414;3677;1888;4704;867;4324;2536;1006;4082;4729;5630;5887,
0214,385;4359;1543;4235;1045;5528;2846;2854;681;5424;2867;1204;3381;4409;3001;2745;193;1992;3784;3915;1997;5197;1368;4569;5341;5472;2535;3565;2290;3067,
0215,4355;2691;2694;1927;653;2072;3096;2585;1817;2206;1439;161;2594;5796;4516;1705;4141;5553;5686;3392;2369;5314;198;199;2376;1102;3923;999;3186;5875,
0216,513;1027;4741;4362;1942;5278;2591;161;5026;4263;936;5162;1842;5430;5177;2249;464;4819;4691;5846;2395;2527;355;4965;4584;5609;4972;2927;3312;1401,
0217,4997;3973;2438;2695;2057;5387;268;1424;5012;4895;296;4140;5184;577;5060;1996;5715;5332;4439;1371;4447;223;481;736;3173;5098;4463;5360;503;760,
0218,5376;4864;3456;4617;5261;2455;5271;2329;5147;4896;5027;1320;4906;1837;5166;2174;192;194;840;4681;3920;465;4308;3561;1643;3823;4088;1018;4093;254,
0219,4486;5383;5258;4880;5777;1297;1428;3867;5660;1826;2734;3760;4273;4155;704;4291;2116;2885;198;1993;4940;5462;88;2268;2928;2800;3825;2552;5242;2811,
0220,3714;4492;6031;3474;19;3865;2333;4509;1823;547;939;4396;4789;5174;5558;5436;5567;5955;5062;2393;3423;3551;995;4586;2923;496;5364;4984;635;4991,
0221,1668;4868;5001;1929;1292;1550;4886;279;3226;3874;1326;814;5039;183;5308;2621;956;2112;1482;846;3679;224;611;2277;4329;5611;1259;2413;3821;1917,
0222,769;3333;3590;5896;3464;141;2190;2326;1560;795;3357;1186;5937;2483;821;2999;4280;1987;1094;5702;983;5723;862;3048;4075;5102;4463;4849;2035;4605,
0223,4480;3202;259;3332;3337;2192;4883;3092;3863;1690;4890;800;822;5051;3774;1602;708;2505;977;4181;215;2265;2011;1246;5598;870;103;5868;502;5112,
0224,3329;4226;2306;2440;923;2845;4383;4649;810;4529;1458;2611;4922;956;5566;703;3264;4289;3008;4293;5579;3150;852;4693;3673;990;2273;362;5747;5238,
0225,256;5634;265;2840;4123;2975;2592;4387;4005;5803;3246;5809;305;179;2613;309;4153;2489;4413;4671;5705;1610;2906;5346;3950;3573;2550;4086;4598;1405,
0226,1793;777;2698;2319;1938;4373;151;1693;2590;5792;4642;4514;5288;821;439;1595;2882;585;2769;5714;2776;1759;3040;98;4074;3307;5359;1393;242;1017,
0227,4096;1283;1797;4617;2581;534;3099;4637;928;4385;3234;1455;1460;3510;5824;4802;841;2507;2895;209;338;5715;4950;91;3932;5851;3680;997;3562;508,
0228,4738;3588;2316;5394;5651;3112;2617;3133;829;3263;3134;192;1604;3913;1101;2253;3799;608;5090;4708;3812;107;3436;2539;5616;1268;3957;1910;4343;4984,
0229,5517;5518;783;1555;3610;1690;2334;4127;5287;168;1063;5803;1964;1715;1204;3640;1085;958;71;3914;5966;5587;96;3809;2529;4454;113;4084;4343;639,
0230,3204;3460;4361;3850;3727;3863;1569;2854;1064;2089;4789;694;4921;1722;4411;5693;3646;454;74;5197;5070;5331;83;89;2404;4968;1775;1903;4083;5756,
0231,3712;643;2571;142;18;2969;5786;1310;2424;932;5673;1450;46;304;2866;5554;2877;1604;2628;2759;73;5717;605;3166;4709;2795;632;3833;3198;5119,
0232,3589;4362;1041;2325;5783;3607;2074;2594;2469;5799;4264;3241;3116;5178;3519;1345;1993;2508;2125;1242;4827;1254;615;2792;618;4331;5100;2285;4858;638,
0233,1794;3717;2566;20;2458;2589;1949;34;5923;5036;3629;5039;52;3001;5181;5185;194;1991;3530;5581;206;208;2259;3283;94;4190;5473;1763;227;4599,
0234,2689;1665;4105;1165;2069;3737;3738;2587;5274;2975;2724;4004;4900;1327;4528;5938;1081;2877;4417;1985;2501;3910;591;5459;4056;1880;4578;2037;4349;5375,
0235,3722;4506;3485;4389;554;1707;5808;2355;4405;2370;4420;4676;2502;3913;2633;2897;2263;3032;478;3679;2658;3683;5218;4330;2286;5231;5233;2036;2550;5881,
0236,3973;4104;5002;4619;652;3726;3471;401;1941;2453;1567;1697;36;1445;2858;5167;5297;3122;2740;1857;1476;4550;1862;3402;974;3535;5715;3435;241;4478,
0237,263;4872;1036;3852;5645;15;143;5650;2580;4631;2203;5664;2722;3883;2348;5940;3137;3913;4051;212;600;5723;1890;2408;3054;3313;2289;5618;3187;4477,
0238,3585;1283;775;5640;3725;4238;1552;5776;2200;1310;3617;4530;5299;5940;3508;1081;837;3783;5192;2889;2642;1107;3156;616;1640;5097;5742;5748;3449;4731,
0239,4102;1928;520;2827;907;1422;1812;4374;2715;3870;4512;3617;928;1830;550;2342;1965;4784;4918;1344;2628;2639;2904;2275;4841;1389;4722;249;4474;1791,
0240,3200;390;3463;3335;2182;2315;398;411;929;1700;4519;4007;2480;4664;4671;5702;4681;4812;4301;2893;4307;864;1510;5739;2925;1009;242;2162;4596;3455,
0241,4736;5123;4871;1672;3983;1683;22;5528;2335;931;550;4265;1581;5683;3508;821;5942;1079;3130;725;5717;2395;2019;2915;1893;2664;4081;2290;2425;3963,
0242,515;4617;1547;1553;404;4253;5277;5024;418;2082;422;1711;944;1714;1858;455;333;5713;597;3413;2775;5222;4966;2663;5993;3817;113;2426;3067;1149,
0243,3074;5752;3865;5785;282;5277;1311;3616;2216;4392;4526;5678;1843;1333;951;2105;2243;2123;853;2526;4451;228;5607;3947;2160;1778;3316;4344;2812;4093,
0244,4997;4869;1418;4366;657;289;5283;4777;3755;3635;1850;5052;970;5588;340;1620;2518;1625;737;742;2022;1001;4586;2923;1897;1517;880;4341;254;3711,
0245,4743;5774;1807;1047;923;5790;3490;931;3749;5417;2859;2862;1583;2998;313;4925;1598;3010;3781;3026;3539;5206;5846;4188;5355;1006;5104;1523;509;5375,
0246,2690;3100;3745;3746;4259;1957;166;5541;4392;4520;3258;2763;2639;5200;1359;5331;2903;3032;1240;3677;5728;3424;96;5484;4078;3956;1014;3064;6009;4988,
0247,5504;2949;2310;23;4120;27;5149;4640;4130;1961;5808;5682;5046;3900;4413;1725;3782;3271;3917;213;984;2915;2660;5995;3052;4077;2033;501;3067;1916,
0248,3330;1669;2950;905;5385;6027;4876;3345;915;20;3872;5921;2983;2727;5291;4396;5165;179;3639;1868;209;4306;727;1752;733;5345;5101;1781;5367;3964,
0249,640;4612;5;3845;5526;1561;2204;799;3490;4905;1835;43;2351;5557;5451;3660;4061;1118;1886;5855;3169;1510;999;486;1257;4074;1772;4079;3701;4984,
