,boycott_uid_set,like_boycotters_uid_set
0027,4116;537;4121;5662;1569;1072;2611;1080;1087;1600;4674;4163;580;1095;2633;3658;5706;3661;3662;4178;3156;1623;3672;3162;91;5214;5736;2667;3180;3181;5238;5239;632;2687;5759;5763;646;3718;1160;4236;3728;666;155;2207;4261;4774;3239;170;3755;172;3245;5806;3272;1226;1742;725;4313;732;736;2279;1773;1781;5880;2303;4355;2309;5382;3338;3344;3857;4370;1811;2836;4888;1827;1828;1829;3366;5414;1833;1324;1837;1839;2869;822;3392;837;3400;2895;2395;349;350;866;5480;1386;5485;4463;1395;888;3452;3453;3455;1411;6021;1423;1425;2964;3482;926;4000;5544;943;1458;5569;5570;5571;5579;1484;1487;471;1506;1511;1002;4587;1005;5615;5616;1521;5107;5627,
0028,3201;3716;2442;5138;5140;2460;5935;5938;2742;5945;4287;2499;2759;2509;5199;2512;4053;4309;3801;2527;2017;3819;2162,
0029,1538;3074;1541;4101;1546;2571;4107;1038;15;4623;531;4628;26;3618;2084;3108;552;42;1578;3122;5682;1588;2100;2105;2107;3643;2112;4162;4167;4683;588;4174;3169;2150;4710;2152;1129;2669;4206;118;4214;4218;4732;5248;129;2690;643;3202;3713;4738;2696;138;4749;2707;5267;4757;668;4768;674;2722;4773;4775;1196;2735;2738;4786;2740;1215;3777;5315;206;2769;2776;217;220;1244;5342;2273;740;3817;4842;1262;1780;3829;1782;2807;2296;4857;5368;774;263;1798;2311;1802;1804;1805;1806;1808;4368;4885;797;3359;802;3365;3878;1320;2856;5421;312;3907;2380;3418;2396;5469;4959;2401;5473;2915;3946;2925;2415;2927;370;2429;2430;2431;2432;2433;2434;2435;2436;2437;2438;391;1415;2953;3972;3977;397;6029;4495;3993;3995;1957;2986;939;2479;5552;5044;1973;5047;2491;450;5059;4550;5063;4552;5066;1998;5074;4563;5587;5082;5596;5086;1504;3040;5095;4077;5619;4597;2041;5114;2045,
0030,2560;5379;5623;5643;4624;3611;4896;4902;4910;1201;4529;4662;4918;4919;5689;4797;5053;5057;5058;5060;200;3914;2892;1997;4561;2652;3423;1257;1141;3831;3836;4863,
0031,5120;3589;2592;4132;1574;4647;560;3647;5189;1096;5192;5195;2639;597;4182;2649;2148;4198;3689;630;1146;3195;1661;3204;3205;649;3722;5770;2212;5798;5799;2736;4800;711;2761;4810;4814;214;3286;1245;4321;4833;5345;3813;1263;272;5911;295;3887;5424;4406;826;2885;328;5962;846;4431;847;337;339;3415;4440;3929;4444;1889;3944;4461;5490;6007;376;891;6011;6014;6015;1920;3971;3463;5517;3471;3488;4518;1447;4522;3502;3506;1459;1971;1981;1982;448;962;4037;973;1485;977;2003;2007;1497;2010;4059;1526,
0032,4609;4098;2563;4610;3593;1548;2066;22;1046;4126;549;2599;555;5163;5169;563;2618;4666;3644;63;64;68;70;73;585;586;4170;84;86;599;1622;1125;2671;3698;3702;5243;4221;2688;1154;3723;3216;3219;3220;5786;2203;3746;5794;3756;3759;177;178;1715;2744;1729;3265;3781;202;203;715;3794;212;737;5347;742;3815;1264;4848;242;1271;1792;2817;1801;783;3346;1817;286;1822;1831;3880;5418;5425;306;1842;1844;2866;829;3906;323;2884;3922;5973;1367;5463;2921;2417;1403;379;1407;3456;4993;6024;1421;929;418;1441;4516;2982;1959;429;4019;4533;438;4022;4536;5562;3517;4544;3521;451;3523;3527;457;1483;4046;2004;2517;5592;2014;5610;1516;3565;1006;3566;3567;3575;1530;2558;2559,
0033,4258;5091;1383;1031;5575;5035;4172;1389;5906;5908;5109;5943;568;4445;5950,
0034,640;3330;2052;2695;5000;4365;5262;4112;2065;5652;2198;2201;2586;4123;5913;5919;672;2848;4003;1061;2214;4135;168;4776;4777;4778;1713;1205;4794;314;2235;2620;2621;2110;3902;4288;833;3138;4545;3780;4036;4676;2248;1737;4428;2125;2253;1871;2128;4304;4813;5711;2260;4437;5334;4823;3032;5209;2140;2268;2142;2144;2657;2018;4961;3428;4837;3046;4075;364;237;5949;2160;4338;2804;5236;3958;4600;3706;1151,
0035,1024;2176;3844;3462;5642;2699;3727;5651;5653;664;3868;2845;3998;1057;3490;4386;5157;4648;1709;1712;4152;5561;699;4668;581;4555;3919;5967;3153;4058;2908;4188;5989;3302;2280;3560;618;4335;2800;1140;503;765,
0036,2;5894;1799;1800;3848;906;1163;4490;4874;5117;660;5398;5527;4120;5029;5030;809;813;5816;1721;5819;828;2498;5954;5960;3915;2259;2263;5079;2793;4073;4460;4334;1775;4093,
0037,4866;4867;4869;4358;4870;4871;4872;11;1942;4759;5146;4763;3363;4771;5801;4779;4268;4781;302;4274;695;191;2113;2626;1348;3268;4807;4680;1355;4684;4815;4816;2129;1748;4820;5589;1625;735;4831;4836;229;4858;4843;5611;2672;3572;5750;4599;3704;1785;4730,
0038,134;3980;3731;789;5144;5536;5502;803;3875;37;3889;5691;1725;3263;5184;1859;582;2887;4169;2891;4175;4306;3283;2006;3927;600;2655;97;3558;5094;3964;4592;5744;245;2677;4342;123;3068;382,
0039,1793;5122;1029;135;392;1545;3211;1551;2832;3729;1555;5401;4641;5154;3241;2860;1070;303;3379;2874;845;3282;5077;5848;4829;5470;2784;3810;5474;5476;2794;5884,
0040,1380;5258;4203;2095;4113;2005;1976;5915,
0041,5920;5027;5923;4677;3237;5061;5769;4682;5419;4559;5777;5172;3228;5757,
0042,3968;3970;5253;4883;3604;3608;2734;4147;1332;4799;840;5202;5205;3033;4318;3552;4719;2422;3192;763;6012;3710,
0043,3329;4483;2693;2950;4488;2704;915;1044;800;1188;1577;2858;1073;52;4534;2743;1722;60;3136;3148;855;3935;2272;1761;1128;372;2295;248;1533,
0044,2945;772;5773;3859;5396;3093;407;5016;1437;3743;3747;807;296;5031;1964;3375;1970;4030;3139;1994;976;4048;1366;5462;3805;4190;4320;5218;5859;4068;1381;1895;5863;3692;381;1909;759;5112;3709,
0045,1858;4260;5413;1062;3979;2382;3503;2256;2257;5403;3480;1851,
0046,385;389;262;5268;1314;1081;4026;3534;3792;4560;3666;4054;4311;3679;4706;2154;3697;4978;3576;3833;3322,
0047,1536;1601;4323;1034;2286;4247;4122,
0048,320;1633;2050;4923;132;3592;1993;1659;4924,
0049,2275;3719;234;4505;4119;825;1275;3325;4254,
0050,5728;5531;4278;3334,
0051,66;6022;2317;3536;148;3540;4310;4404;3581;3199,
