,boycott_uid_set,like_boycotters_uid_set
0080,4226;1156;773;3716;5124;2056;1033;3333;395;2827;400;4758;3223;5400;4762;798;3870;2723;5668;3875;4393;5550;1587;1844;4919;695;823;1599;1600;2241;3916;719;593;3413;1238;4823;1624;1493;2262;5342;3934;993;865;1508;230;4073;3178;4460;620;2157;4591;5616;2159;4082;748;1396;1782;1142;3064;5246,
0081,3712;2182;3719;4745;2954;1164;2575;4751;5009;2193;3605;4886;2200;1563;4252;5916;925;1823;415;4384;2341;2985;4522;4267;3116;3501;1460;5050;1210;316;2491;2497;4289;67;1219;5189;3526;453;5067;2125;1871;849;3665;5843;2006;1750;2009;987;735;3679;2657;5219;3688;2281;2409;5871;2031;2034;4217;6015,
0082,6018;898;3461;5126;2823;903;3722;1166;1683;277;1430;1431;4249;3609;1818;3358;3615;1054;545;5152;4899;674;1957;2341;3495;809;2858;5419;5293;1968;2612;4664;5308;4798;1218;4805;2375;3659;715;4172;3660;5328;3153;722;3028;3162;3421;355;1764;3174;1644;4077;2671;5233;1522;242;6006;121;1146;1151,
0083,512;2051;773;3846;392;3467;2445;2834;2324;1301;3990;2585;538;5658;2841;5279;1193;683;4526;4783;5551;5808;4019;2742;1593;4154;4796;2752;3138;1867;4943;3025;5714;3666;1366;2519;5591;3033;1242;4183;728;5337;1758;2271;3552;4574;5987;4582;4071;2027;1388;365;110;5746;2933;4341;3967;1016;1144;5759,
0084,2433;2818;2179;901;5386;4491;4750;784;273;5394;404;151;665;1433;4635;2974;2083;1957;2170;2983;5542;3237;4269;4401;948;692;438;3382;2100;830;2623;66;453;1352;1739;4942;5455;4174;1745;5458;3539;2385;5717;4565;855;593;1756;3552;5857;5350;359;4842;2410;5488;5620;4853;5110;2424;3322;4092,
0085,1027;643;4483;2696;2186;5515;4108;4876;6030;5008;1937;4990;4496;5268;2452;2069;2590;2466;1315;2341;678;423;3752;5929;4011;5294;51;183;1083;1212;3134;4415;5438;5057;2244;1483;463;5327;2257;3544;985;2008;4828;4702;3295;5088;4833;100;2022;1895;1257;2154;4717;3310;5107;1528;4090;127;1918;5375,
0086,3842;382;4358;3335;2954;2059;1803;3980;2836;4118;3991;2457;3353;3740;3358;1822;2464;2207;287;1187;1572;3749;677;1318;5161;1838;2864;1841;1200;821;5816;5817;2362;5692;4285;831;707;4422;5960;2634;4683;1995;3921;1618;1237;5973;2650;90;3040;5601;96;739;2790;488;2540;4077;1519;3575;5886;895,
0087,6016;3714;4485;4742;4616;5130;2826;653;3344;3860;1044;5780;405;2841;2972;157;4510;32;1061;3878;4266;4267;4012;5038;4911;4657;437;5174;5560;5689;5818;571;4797;5950;3646;2112;2625;3645;324;586;75;5196;5450;3790;2900;597;87;1240;4705;1249;483;5345;5218;3951;114;3443;3060;3063;377;2682,
0088,2048;130;6022;5768;2441;3209;1035;392;4621;3344;657;19;1558;406;3609;2842;666;2717;2463;3745;4386;2978;3750;4776;4396;812;1711;1461;5429;2619;2238;3262;5824;2625;2370;1987;3137;2373;5190;4423;1479;4937;5458;1749;3798;5079;1759;1251;4579;100;230;3177;2411;1518;4975;2291;884;3060;3838;2175,
0089,6017;3715;777;265;2954;5645;4240;5010;788;408;2585;4377;4125;5662;1311;2211;5672;5929;1455;945;1971;5300;5175;696;4793;2619;1083;5311;5568;4933;3654;965;4680;3529;1994;5201;2515;4563;4182;598;3288;4185;2903;4184;5730;4579;5732;739;484;3687;5487;2800;4209;4722;1525;1013;2680;1021;1278;4735,
0090,2690;1155;4355;3592;2317;4115;4118;2328;792;1309;2207;3360;417;5156;4901;2215;5544;168;2604;5165;2863;2993;307;828;1469;831;3009;2113;2115;5443;5317;5062;4295;2759;4163;1475;4687;5072;5328;1494;342;2136;2646;2395;1244;859;5597;2011;2654;5601;4324;229;2663;619;632;5357;5999;6000;3319;504,
0091,5770;5900;1421;3596;25;1818;2843;3612;4381;541;2296;1058;5155;3749;4780;3244;559;1841;4147;5171;2357;5302;1717;5688;2101;4154;3263;832;5697;2880;4548;3397;582;3400;2634;1995;3146;1358;5455;2129;978;2770;472;4185;5339;478;4574;3040;4446;3934;3550;744;112;4210;3571;5878;1272;2169;1916;4350,
0092,5384;5128;4234;1420;1677;2573;1165;5008;145;5268;1429;278;5013;2582;921;1173;4891;5534;4766;4898;810;5631;5422;2223;5808;5041;5938;3250;2227;5558;2487;2878;5311;1216;2115;4806;1096;5708;1230;1746;4819;2902;5720;2520;1755;5986;869;2411;2667;4845;5870;4207;6000;2803;4340;5240;4346;3324;5374;4095,
0093,384;1153;2178;3459;4996;388;2438;4488;1160;267;2447;2193;5009;662;1814;5656;2459;3229;2336;1441;1444;933;1447;5287;3879;3627;5165;2738;2100;3643;4924;2624;4417;68;3399;2760;1993;456;2251;1868;5199;5969;5844;2516;5718;731;2782;1247;3935;5090;2019;1635;3436;5105;5874;3316;2422;375;5494;2941,
0094,5632;3456;2051;3459;3588;5124;3207;2185;11;1676;13;2827;2960;4881;21;5654;3351;2205;3613;4511;2596;551;1576;426;814;2353;3633;1459;4657;3890;3638;4024;1593;4027;2748;3263;2242;2755;1859;5575;2763;5579;3534;974;4432;4690;467;4819;1749;3934;990;1888;3681;3938;3942;1895;3176;5227;4595;3063,
0095,5496;4102;646;4107;3213;4752;5650;278;2199;664;4631;2198;22;927;928;1533;1058;1318;3111;4262;937;5673;5672;1587;3510;1337;1855;3907;1988;5317;1477;5188;4940;1612;3790;465;4306;1621;3030;3031;5975;1114;2138;4187;3165;1246;5855;1375;3557;2278;5354;5995;1899;2546;3315;3955;1144;2298;1021;3071,
0096,5378;4994;4745;4492;4877;1807;3088;3343;18;4239;1940;3608;3869;927;2209;5027;1061;1702;2342;4264;1707;4652;2991;5167;3123;5557;1207;314;5307;59;2363;3520;5954;3651;2883;5189;2373;3659;1230;2130;5459;1746;5205;4820;2903;857;2784;2017;1386;4076;2669;2927;5616;3446;5494;6006;2681;4986;4476;2301,
0097,4992;2690;5763;3716;516;3462;133;2569;1801;140;1292;1548;401;1299;3220;4245;3478;5913;414;415;4900;1701;2086;4901;4773;682;2092;5548;1331;5300;4536;1210;3517;1726;1471;3520;5057;5827;3011;4555;4811;78;3152;4946;594;1235;5850;2526;353;3940;5867;4076;2797;238;2289;1270;4088;2041;1144;4094,
0098,129;2693;4230;3976;4618;2317;2832;529;5009;4499;5783;2456;1692;1567;416;3107;3241;3755;1454;1072;4401;2354;2482;3252;1968;950;1335;2366;2882;1731;5316;4294;4168;5196;206;4174;80;4302;4432;976;5082;2139;3933;4960;3937;2018;5217;3044;1509;5860;359;5988;3836;1259;5998;4206;3569;3833;3708;3966,
0099,640;3075;3718;2440;1418;1937;1681;659;1403;1171;1306;1563;1948;3360;675;5411;3749;2472;3114;431;3504;1330;951;3511;1468;701;190;5183;1086;713;4685;1744;3921;724;5460;4310;472;4441;5721;5339;4186;2269;4826;2144;4321;1251;2278;2281;494;3711;3824;4078;5491;2548;5493;2553;4603;3197;1790;6015,
0100,1537;4482;2564;644;4734;4362;2830;5648;1938;917;1175;1049;419;293;5287;4648;4905;3752;5803;3627;5035;3893;1603;3908;1989;3654;5319;2504;2756;5828;3662;4049;5331;4695;2520;5082;859;3675;349;3167;4575;1762;3172;1895;5992;3564;1132;5870;2801;242;755;4852;5748;4598;2039;2038;3066;4220;3710;383,
0101,5249;4097;4866;2694;8;5898;1674;5261;4495;5650;917;2201;5275;5917;1566;4384;2464;5026;1442;3365;3621;4263;424;421;1708;4269;4783;2480;1203;2359;4922;2107;3772;5051;574;4415;960;576;2882;2760;5192;3402;1357;1870;3920;4049;5843;5460;5973;342;3286;2650;95;5345;3684;230;5996;620;1012;1407,
0102,259;6022;775;2312;774;5770;142;4862;5646;3862;3226;3354;5282;3492;3494;5927;4779;5805;1582;46;1584;3377;5677;2093;4661;952;59;3900;2750;1729;5317;3657;4810;3530;4300;973;5582;3151;3793;4948;5206;4695;1371;2780;4574;2533;3047;4328;3306;493;5230;3057;1138;5618;5620;3957;4728;1785;1403;5502,
0103,2432;2945;6018;5760;6;2183;1679;1809;274;2451;4756;5910;1048;796;5919;288;419;4131;1956;4265;4137;4396;2861;5166;4913;2483;3380;1334;1720;3776;2883;4036;4932;980;2887;1359;4691;4052;3797;854;4951;4952;2009;4824;219;4953;4957;94;3039;5088;3681;1252;2150;4199;1256;3828;5111;248;2811;5500,
0104,3202;6019;4;1413;3974;4103;5512;8;5257;655;1552;4370;3734;3482;538;3226;4382;2463;3876;3494;4519;4391;1961;5286;4779;173;2093;4143;1074;1593;1723;1471;576;1345;3908;3018;1867;2253;846;4050;5842;4692;4054;3414;347;1757;4705;5221;3177;3051;4204;4333;5487;5364;501;5876;4856;3450;891;5503,
0105,2944;2432;2049;1284;1924;2566;902;5384;1417;2823;3601;2453;5144;5785;1688;2715;157;2466;5282;2340;4646;3495;2089;553;45;2226;1843;5175;4668;1469;2368;5570;3523;2627;3652;5316;5447;585;457;2121;201;77;3532;5458;594;1748;2903;5080;5470;3936;4576;5218;5738;5612;748;5485;4216;761;2813;2943,
0106,4096;4227;4612;5765;3589;2696;5772;5007;1168;2192;2832;2835;2580;19;4503;5656;3995;4124;5660;1567;4896;5154;1443;5412;2596;930;2472;554;4907;2991;5552;2865;3761;3765;3000;3906;835;5570;5449;3789;4046;5583;723;852;5333;2648;90;5341;3422;3423;3680;3041;3685;5222;3822;2799;1265;1139;2299;4095,
0107,3969;4098;5379;1284;2050;3974;6023;4360;1799;3083;3340;1038;911;4624;2193;5651;3861;1685;3608;5657;5145;1305;290;2598;1703;2599;5677;2224;5681;3762;5297;4528;1975;3642;828;829;5566;1727;2115;1860;1996;1743;1489;82;2007;2906;2785;5473;101;5862;1253;1259;5485;366;1520;4466;502;2422;4217;5499,
0108,768;2434;5764;2181;1286;136;2570;5514;5645;3474;5916;2204;3740;2719;1660;1439;2333;1060;4517;3499;5675;1838;686;49;2609;1842;949;188;5181;1086;3393;1347;1990;3534;3791;5456;977;2002;3796;2134;3292;3551;3039;736;5988;5348;2406;4068;1896;1256;1514;4715;3813;1524;4982;4599;4217;4218;3708;125,
0109,3457;5121;390;1288;2441;5512;5644;5903;791;5656;923;670;1438;3360;5794;2342;2854;1577;5034;2217;4785;4406;2745;5691;1084;444;2623;5952;4033;1857;321;5444;68;5062;2375;3265;4169;4174;1488;4817;466;1623;3415;345;2264;2269;224;1120;96;488;1514;5739;2284;2411;881;1913;122;763;893;1663,
0110,5378;2822;4744;2185;5387;142;1550;4752;4881;534;6038;2328;4121;1306;1689;5149;5919;5025;4771;4006;3752;40;937;5547;4274;4020;2100;5175;955;3003;3772;447;3649;4930;4037;5574;5834;1101;1359;3666;4058;5851;3932;482;100;2406;1767;5223;1003;4731;5742;2927;751;1902;2034;2424;2426;3707;5372;4989,
0111,3846;3718;6025;3978;1676;5645;5518;399;3345;5010;5523;5394;1814;5915;544;1825;1188;293;2344;3116;1453;2860;303;2481;5426;3507;2100;566;4408;5305;1211;4411;3774;4290;3397;3912;2121;77;5199;5456;2899;3030;2013;5087;2019;1636;503;4711;1256;5607;743;3815;1392;3315;4979;244;2678;5751;3705;4218,
0112,4992;5249;2562;1272;4228;5636;5770;267;2062;2832;3987;2708;20;5782;1435;5661;4381;3358;3749;935;2472;1195;4781;430;2605;4525;3377;5562;5054;4414;447;2241;578;1095;1993;2506;5323;4299;4560;1361;2386;3541;2262;732;1374;869;2408;2666;3950;2670;3696;1905;5488;4851;5112;4089;5498;507;1790;4991,
0113,3201;4483;4101;1542;6;5766;2567;2695;5515;3723;141;268;17;5267;3863;4507;5789;2466;4646;551;1832;1321;2214;5291;2864;4915;3764;5685;5047;184;186;4284;1725;2241;3138;964;5450;2257;4177;2771;467;4308;854;5724;4702;2784;2146;354;4712;2667;875;3692;5486;3951;5232;239;2670;2164;1525;5372,
0114,4732;3843;261;5510;2952;2825;4234;3340;2700;14;1296;5905;5777;2451;20;5372;3988;2974;5538;2594;2339;2595;4647;5928;4653;4273;3890;4661;3640;4665;4156;1983;3777;449;4423;74;5068;1740;4046;4434;1363;4563;2777;4443;733;5213;1252;1001;621;3311;1520;879;626;4595;2677;1656;3835;2940;382;3839,
0115,514;4740;2180;1159;1289;1547;908;4620;526;3212;19;150;2203;3612;3357;4898;1317;166;3238;4014;815;430;3505;3634;4659;5428;693;4788;5427;57;316;5693;2110;4671;320;321;192;3523;2117;5192;1483;3155;5845;3285;4951;3928;2394;3035;4830;3423;1248;4576;1506;5604;1381;997;5741;5614;2165;1785,
0116,3840;5377;513;3975;1800;5003;267;1549;5902;3599;1551;4753;1425;2193;5268;4130;547;2552;938;5937;4787;4405;2809;1208;2105;444;829;2366;2112;193;2118;3270;328;5452;3917;4430;2508;212;3032;3161;1626;1498;90;2781;4703;1121;5477;5478;5352;2409;2025;4842;6001;2677;1142;247;1144;629;2426;4350,
0117,1152;6017;2;3844;4613;3079;9;3212;4876;1806;3343;5266;1298;4498;1306;2202;5788;5021;5020;4380;1569;2465;37;3626;4395;1842;4659;3637;4662;2614;1464;1465;5306;824;5949;3776;3392;2886;3016;5193;4681;3532;5583;3543;4567;3801;2138;2649;5852;605;1636;3942;5606;1769;5230;1520;2929;1781;5367;505,
0118,5632;3333;2309;6022;2955;5900;5518;655;4366;2066;2579;1555;277;5394;1301;3733;1690;5922;3107;4656;2225;308;3255;951;312;2234;317;5310;575;2622;1986;1731;452;5573;4164;326;4162;2889;3146;2890;4942;3923;2132;3669;5590;344;2009;2395;5597;1505;1250;5606;5863;750;1905;626;2040;2170;1404;6013,
0119,3969;3333;2821;3852;781;3470;5521;4767;5535;1318;553;3625;5421;180;4413;702;4926;1016;2753;3009;3137;3448;4289;4165;446;2377;3658;2763;2640;5330;3666;4179;1143;4181;344;2009;4954;1883;92;1500;3934;375;2398;3674;2140;3679;2788;2025;3179;4079;1906;3060;4981;1654;1655;2168;4084;3579;2684;1023,
0120,5377;1286;3078;5386;2061;531;4757;5400;409;4760;1182;3488;548;5797;3496;3244;4525;4654;4652;2096;4017;5554;1076;2741;1079;4285;1341;4799;4416;582;2119;5192;1481;970;3785;1356;3917;3792;5457;2770;4817;5973;1877;1240;4957;1886;354;1893;101;491;1132;5485;5105;3955;1398;3194;5115;1916;5886;5887,
0121,5761;6019;4997;1670;4741;1926;1934;1040;5777;5781;23;4121;1308;2461;1566;2847;5792;414;5279;3880;1449;2090;2218;3369;5162;2482;3891;565;4151;1591;1337;4666;1598;1983;5056;1606;4422;2888;200;4424;5831;1997;1357;5329;1494;3677;2653;4959;1376;5345;4447;2919;5224;1773;3438;5232;626;1398;1144;1151,
0122,5762;1671;2696;4105;1034;5643;3343;527;913;4111;2834;664;2716;5148;2978;3235;1445;2213;1578;5162;3882;1965;1070;1973;4407;1464;3133;958;5567;2623;2883;2629;2630;5190;4554;1226;4172;3021;5070;3534;3788;4947;1875;4567;3928;5591;3548;609;2274;2787;483;5099;4331;5869;5617;4593;3317;3447;4730;4606,
0123,769;1794;5250;1156;4997;517;5380;5123;3207;3848;5389;5006;4111;3220;5013;2708;5245;5269;5657;1817;157;3614;1054;3361;3363;293;2217;3508;3765;822;3768;3256;571;699;4797;5951;2880;1218;5955;4559;1872;5327;82;211;1235;2659;228;3171;486;3815;495;2416;115;1908;4221;2803;3703;1017;5884;6013,
0124,3328;3457;4866;1283;5;2310;1158;5646;5267;1684;3605;5271;5017;1308;924;1310;4255;5660;1564;2339;4005;2984;170;4396;4524;174;5683;4533;5559;1471;5696;5440;3650;4038;1862;4168;1486;83;852;3284;2263;2520;4953;3419;482;3301;5991;5352;2926;5743;5873;3700;2037;5622;1653;5364;4219;2428;2558;4223,
0125,5251;517;3206;5894;5639;1033;400;3729;4240;1296;4500;3857;2193;537;3353;1566;2976;5793;2859;1452;303;4783;4145;4273;1461;5687;2878;1219;2886;2375;3016;5962;1612;4176;2642;1495;2904;2392;95;3808;866;5220;3301;5989;2023;3688;3177;3434;3945;4972;1389;751;4720;1520;5618;371;3315;5109;1017;383,
0126,1025;5634;2565;5126;2183;3725;789;3224;1693;2589;415;3615;2207;2976;2721;4265;3882;2991;2863;945;2355;1845;1846;1079;4152;185;3770;4408;4923;5305;1724;578;3010;329;4810;4427;3785;5962;4176;1361;5970;3794;5971;4950;1881;857;4964;1636;4582;4583;4715;4718;3567;240;495;4466;2164;3061;5624;2814,
0127,4608;2944;3714;130;2434;5125;5893;5256;1416;3980;1166;1168;5372;3096;4765;2077;2720;3492;807;3498;3499;5292;43;5421;299;3505;5681;4916;2493;5438;2751;1984;2498;2627;2245;3529;3785;4681;207;594;2516;1877;5847;600;4826;1631;2786;2408;5224;3690;2539;5740;4333;1260;1005;5488;2801;4342;1019;3324,
0128,2050;3971;4357;4103;2317;3347;1941;1815;1944;5147;5532;5662;5791;1572;2724;4903;4391;2867;2995;179;5302;3383;55;5817;1723;3649;580;1989;3910;3141;4808;1990;1610;4811;3661;4690;2131;3922;2006;4953;3290;349;989;1119;5087;2660;1892;3430;1124;1896;2150;5483;109;2673;3441;5108;2037;632;762;5245,
0129,5257;2058;906;3981;5904;1816;1945;2842;5147;3866;3869;4254;670;5026;4514;3493;3751;5290;2477;2990;301;1455;305;2098;4402;819;1846;2233;4922;3257;5179;1597;2110;5951;1851;2116;711;2889;4681;1227;4169;3786;3919;2899;2005;1110;215;981;5465;1243;3556;2917;3046;5485;750;4205;240;2676;3707;4988,
0130,128;4097;385;2947;4610;2055;524;5260;2701;3216;3602;4243;1301;5787;412;1438;5279;1952;4133;4137;2089;171;4266;5294;5814;2999;3255;2234;4285;574;1086;1982;5439;962;1348;2117;2247;2119;461;3153;213;2261;2518;88;857;3030;5594;4700;987;2659;3811;1511;872;4970;5491;1012;5496;1017;4220;5245,
0131,4230;648;5257;16;145;4242;3222;5783;6010;1824;4385;2042;3618;36;1317;2086;3489;683;429;4786;2487;4026;2490;5563;5566;3394;67;3523;1093;3398;3654;3015;4809;2884;4035;3790;3791;464;5713;5330;2770;5973;2393;1370;3803;5084;2910;5342;2528;736;1379;2021;362;746;364;1134;3315;2420;2426;1790,
0132,2177;519;4744;524;1037;4622;4624;4885;277;792;2719;288;2849;2338;166;39;5798;1963;45;301;817;564;1460;2357;1592;3642;5819;4925;318;1088;322;4292;5701;1480;2760;5838;4175;5327;2001;4693;2134;1495;984;90;3035;1115;4960;5348;3557;5865;1645;3568;4464;4724;3061;4986;5627;2428;1661;1278,
0133,897;1542;3720;5257;4235;1547;272;2834;4371;2323;5908;5782;4758;4376;1312;5796;4775;4391;3754;3244;4912;2737;48;1714;2864;4150;3388;3518;2244;3918;2382;80;4689;2258;851;1359;4565;2901;729;3801;92;4318;4703;351;3295;4834;4450;356;869;5097;4715;4850;114;5748;4597;2034;888;5497;634;2431,
0134,1794;3465;5648;528;1170;4883;4115;407;4377;4506;921;5660;2585;4509;1696;1312;933;5414;4645;5159;2341;299;4269;558;5551;1844;4276;1204;1975;5556;4792;4410;4024;2872;445;5310;1983;4160;1601;4545;1478;2119;5195;5457;4690;337;5075;2778;1115;2266;1378;4835;5605;1001;5867;5359;370;886;2427;3836,
0135,3329;5250;2563;387;642;5639;5770;141;910;4759;1690;1563;4635;1950;5406;3744;5790;1315;3236;2470;935;2602;3757;4654;5293;5808;3389;5568;3136;706;836;1733;5832;3786;4042;3788;4429;4171;214;215;859;2397;2402;5987;2534;1511;2535;5994;4458;4332;3949;238;3055;3312;3060;5750;2040;6010;3197;511,
0136,2052;2308;1030;5511;5897;3978;4621;4623;20;3988;4886;4887;664;4888;1050;4375;2454;1053;3359;4131;2596;2212;807;5290;44;4019;3764;181;952;3516;701;5053;4800;3777;5575;336;3923;1620;87;5465;4188;4829;94;735;4705;5345;2403;5734;2664;3178;4474;239;1006;1906;2035;2804;1530;2427;3454;5759,
0137,3720;5769;1033;2057;4366;3215;3860;2964;4377;4889;5786;3866;5533;1694;2335;5805;558;3246;3121;1077;822;4409;1594;2876;2494;1346;4291;3015;2119;3402;459;4045;3920;3280;2515;5203;5463;2267;4956;5981;2781;3423;608;5216;3682;2913;5345;4194;4454;2275;98;4838;365;4590;2288;2675;5748;507;2040;379,
0138,5761;3586;5634;2692;262;4734;3339;5135;2448;1554;1939;19;5909;1022;2072;4251;3229;3614;5280;5029;1064;2730;2993;4145;1075;5044;4146;3640;2489;3899;4672;3650;4805;4422;965;5832;3786;4555;2641;1618;722;982;3289;1885;4959;3169;2916;868;3964;3304;5611;3311;1520;2033;1398;3063;2169;4350;4092;1150,
0139,2179;516;764;4744;5128;1034;776;2697;397;6030;2831;784;913;6029;1556;6037;149;1687;4631;5405;2467;2724;4260;291;5031;4782;2095;1839;1586;1587;52;438;2231;313;2618;5052;1470;574;1598;4931;715;5068;1613;5197;3667;2005;598;2780;100;2149;2662;1256;3689;3819;3965;4085;2037;5628;1533;2431,
0140,4097;2178;2050;1924;1157;3077;3078;1546;5900;5133;397;3219;3097;2330;3227;2852;805;3110;2600;5161;5802;5678;5808;4273;3636;5558;1722;4027;3137;3394;5570;323;2118;5575;5833;4945;2643;4053;5845;3928;2139;4062;4705;226;996;742;2920;5867;3437;4590;110;2800;4209;5232;4979;4084;5626;123;510;511,
0141,2437;1030;1545;267;1291;782;3599;4627;3220;3091;5784;5401;1816;2460;2461;3230;6011;4260;1956;1960;4778;1963;5804;942;2614;1463;5818;1210;701;3133;1853;4293;3655;1098;458;5970;3796;5332;2902;4951;5975;4826;3420;2396;5092;2407;5864;4584;107;1644;4972;2158;882;1523;1780;6005;628;2171;4732;3071,
0142,3329;2177;3206;1528;3211;511;1037;3342;1423;3734;5401;3228;3102;1695;1440;5544;2601;808;4011;3116;1453;5550;4913;3383;2361;569;4157;1471;705;3522;1346;1861;2502;2762;2250;972;4687;5839;5585;2002;2512;2134;4057;1754;3033;2142;3039;3678;2789;4970;3948;2540;2924;4976;752;2162;758;2424;4349;2815,
0143,2435;4995;3717;774;5254;5770;2571;5388;3982;398;2962;1299;2458;1180;4128;2720;936;4406;3640;5689;4540;61;1469;4927;4799;4798;322;703;2755;4167;2504;1099;3532;3022;3152;4818;211;4434;3413;1110;3287;3545;4825;4962;1763;2788;3810;1122;3559;4456;4457;1771;4588;5998;3311;1266;2674;376;3963;4733,
0144,3328;2433;5891;3334;2441;2698;1673;4490;5261;3982;5519;4753;1809;5269;5273;1817;3612;5277;1950;3103;1441;3490;2340;1829;3877;1445;3884;3251;1591;2234;2365;1346;3907;5447;2891;5454;5200;4565;1366;2906;3552;4963;1507;4069;3582;5735;5480;745;5733;2411;2788;3309;2414;4338;5624;762;4350;1405;4222;3711,
0145,2560;519;5769;1674;3337;4621;3981;146;21;2968;2329;2973;5666;2980;4645;2084;5417;1962;2986;1837;3757;815;688;301;3122;4531;3002;4925;2366;3519;3646;1984;1474;2115;1477;5190;1095;4809;5453;5199;3663;5972;4181;3286;2267;3550;4831;4192;5600;96;5344;742;5737;105;4338;1523;501;4342;2166;381,
0146,2434;5508;4869;136;4873;3978;1417;4489;5001;4366;3728;1939;3221;5654;5783;2453;797;3230;927;5408;4767;4898;4001;4778;5934;2990;4400;5426;307;5432;3641;570;1469;2494;4547;1476;579;3784;5448;5323;5839;4944;3666;4179;3924;1749;1621;86;3673;986;5853;3430;3434;492;1648;1267;5749;1911;3707;2301,
0147,640;899;644;3724;2060;3982;1936;1297;3219;6036;3992;4892;925;3742;4897;4258;38;3751;4270;1584;688;2865;4272;3638;5687;4537;5562;2174;3518;4416;3649;1096;4041;3530;3197;5846;1622;1114;3931;219;3037;2526;2399;4319;5217;3426;4709;2407;5352;5868;366;3966;5621;2934;2423;2553;2811;1789;638;1919,
0148,2561;260;4874;5514;3340;5517;5905;786;3093;22;5399;5659;4380;2333;1437;2076;932;1317;1190;423;935;5673;294;4782;4276;2745;1850;3387;5436;4029;5821;1983;1600;3905;3266;1219;1732;449;2511;3151;1618;3027;3413;1493;4695;4056;5212;4957;3932;5855;5344;3302;5870;4975;500;1909;118;5624;1019;3454,
0149,5891;3464;3082;2445;270;5777;532;662;3095;1048;2969;5014;1178;2974;1054;4900;5161;814;820;3381;312;4793;2746;4794;1210;2621;190;5567;2619;321;571;2371;1348;1352;2813;1867;2636;5965;1620;1751;4823;1372;3293;226;3940;5606;2535;2794;4075;878;2800;3185;4594;500;4214;1144;5371;5244;1533;4607,
0150,4353;4611;2820;1156;909;1809;4498;148;2453;5399;3095;5913;1047;3098;3736;414;3360;5931;2733;560;5936;307;1974;54;5432;4670;446;1086;5699;1478;3656;5705;5583;1744;4305;3664;4561;1748;1873;1366;214;5211;2908;3164;4958;3166;5472;3707;1763;2532;101;1002;2413;3313;3316;886;4470;632;3833;4219,
0151,640;3329;1410;1796;4487;1161;4106;1421;3471;4502;5145;4509;932;3751;5800;1833;4908;1965;1584;4787;180;5302;1847;3898;2106;4156;2111;2753;579;580;4677;4296;206;4815;4945;3670;2390;3802;3933;3806;5470;4448;1245;4707;1380;4198;5096;2408;2284;4078;5359;1903;3694;5619;3828;5750;1143;4726;5245;1022,
0152,1538;899;3848;5259;5902;2703;5523;1943;3224;152;1179;286;671;4514;4260;1317;3878;3750;806;1534;3884;5677;3124;3253;4279;62;4543;4673;964;1604;5959;2120;3528;2250;5579;4429;3022;2383;1617;5973;2902;5596;1118;1120;1632;2020;4452;1510;2919;4456;5097;4842;4462;4595;1014;1527;4473;2939;1662;1919,
0153,5121;1282;3841;4867;3978;3594;4748;5647;148;4117;5782;5271;3864;3096;4122;3739;5793;4003;2852;4133;5923;5159;5543;1577;2467;2728;2604;559;2097;1077;4662;440;3898;1467;5309;5953;1474;5316;3012;1348;5444;5829;588;4179;3799;4441;608;3681;4195;1380;3172;484;2791;2920;4840;3178;5359;5362;756;893,
0154,1146;4103;6024;1800;2572;3855;5880;5011;4500;5395;1051;5788;3997;4764;3999;1440;4900;421;680;4009;3372;4527;5301;3382;1590;437;5173;4796;2620;574;2110;5693;1212;3136;2238;4294;583;4040;720;4693;3927;2776;4569;3546;4187;1503;3296;1380;1636;3560;4712;5098;1644;2927;1392;4983;2040;762;4731;893,
0155,3073;4866;5249;2948;2435;3334;4487;1418;5515;3729;5905;1299;1943;2968;409;4634;410;2975;5408;5539;3751;3623;3497;4138;4395;4524;557;4776;4401;4537;4155;5310;1983;5694;4034;4806;5318;3273;2121;588;597;213;984;2008;4825;1371;3676;1888;995;1636;2277;4580;3948;2925;5229;111;882;4979;2294;3575,
0156,4352;769;5249;1154;257;2310;1159;519;5129;2955;12;4368;2704;4115;3732;3988;4890;2719;1439;4129;3363;3625;2348;1966;2739;180;2743;314;61;1090;5058;4803;4165;3530;4938;5196;2511;2003;1876;4565;981;3032;3161;5466;1499;4828;2653;5599;4321;1379;1766;5223;2414;753;4212;3957;2935;508;4861;4222,
0157,3584;1152;3462;2057;1802;2318;16;4114;916;3478;2199;4503;4375;1818;668;5021;2080;1313;1186;4003;1316;1956;4521;1322;5418;3249;4148;1349;1093;1095;1735;4677;1609;2252;464;3537;1745;3538;2650;5979;5852;477;4574;5599;1762;5986;4580;360;3049;3945;1131;4204;4205;5103;1650;2292;5749;1013;3064;4477,
0158,4610;4740;5000;1546;10;3725;2576;3473;1682;1428;148;2585;410;1434;2204;29;4124;1440;3746;4005;5541;5928;554;5419;1964;1196;1583;4017;5810;1588;5561;1979;3774;1216;3066;4164;2119;4554;1230;5456;4946;3286;4184;5724;5085;478;5983;5985;4451;3684;1000;3948;1391;3826;4467;118;3447;5750;1658;4093,
0159,512;4609;5121;4353;1031;2057;3977;652;2318;5646;1426;2067;2582;2455;4632;1817;5784;5150;2593;162;3876;3881;683;2220;3885;5550;4654;4144;2608;5425;561;2998;3512;3514;186;4670;5439;318;1344;1732;4424;4305;2902;3031;983;1885;1758;5986;995;740;1769;4713;748;2159;2799;1265;2546;5618;5621;4217,
